croptype,soiltype,season,month,climate,precipitation,wind,humidity,farming
Soybeans,Mountain Soil,Northeast Monsoon,June,Tropical Savanna,29.800521438481596,77.79705706078188,22.52483279520421,no
Mango,Red Soil,Hot Dry Season,August,Tropical Savanna,8.239838058877492,65.61486903440868,30.93849859524438,yes
Oilseeds,Alluvial Soil,Northeast Monsoon,January,Mountain Climate,21.070773878158434,61.84680858428537,9.229811506906781,yes
Cardamom,Mountain Soil,Northeast Monsoon,October,Tropical Wet (Monsoon),40.27767208771669,51.09787763336613,42.23397890762559,no
Turmeric,Black Soil,Southwest Monsoon,December,Subtropical Highland Climate,38.78824405332594,17.144720750230302,41.699025418833294,yes
Rice,Alluvial Soil,Hot Dry Season,March,Subtropical Highland Climate,46.764230757174744,84.19651384008343,51.857945695371896,no
Tapioca,Black Soil,Northeast Monsoon,November,Tropical Semi-Arid,43.21130590346547,11.174682325918061,23.25806937942042,no
Banana,Lateritic Red Soil,Southwest Monsoon,August,Mountain Climate,2.34340744102004,89.29191961078331,26.934387219761824,yes
Betel Leaves,Red Soil,Northeast Monsoon,November,Tropical Wet (Monsoon),52.973005611276704,71.82724109556321,20.9447342012012,no
Banana,Lateritic Red Soil,Hot Dry Season,July,Tropical Wet and Dry (Monsoon-Influenced),90.42055496557309,96.84036440455603,92.60055917232722,yes
Coffee,Mountain Soil,Northeast Monsoon,February,Subtropical Highland Climate,0.11541235564953567,17.198044834747993,57.59596326118538,no
Groundnut,Black Soil,Southwest Monsoon,December,Tropical Savanna,32.53722620412255,17.69787066967562,16.909990731782464,no
Soybeans,Lateritic Red Soil,Hot Dry Season,December,Tropical Savanna,4.8540508716847235,34.58255606936555,79.43808146093403,yes
Red Chili,Alluvial Soil,Hot Dry Season,July,Humid Subtropical Climate,28.975400033246444,62.800974382918554,54.748780459394695,no
Black Pepper,Laterite Soil,Northeast Monsoon,December,Tropical Wet (Monsoon),64.61248505620819,13.294474100713781,38.82254257452089,no
Banana,Black Soil,Southwest Monsoon,July,Subtropical Highland Climate,18.160147846784426,68.40461187689112,12.565215798138896,no
Cashew,Lateritic Red Soil,Northeast Monsoon,October,Tropical Semi-Arid,60.72437212835319,88.23983696453332,73.1775944217444,yes
Groundnut,Laterite Soil,Hot Dry Season,December,Humid Subtropical Climate,38.28225893371341,60.40534109177379,46.5536791496883,yes
Rice,Black Soil,Southwest Monsoon,September,Tropical Savanna,50.106680654143965,52.58531305610412,83.21574599658406,no
Groundnut,Mountain Soil,Hot Dry Season,September,Tropical Wet (Monsoon),62.669990466706004,89.4931497269433,49.19821070726298,yes
Sugarcane,Lateritic Red Soil,Southwest Monsoon,August,Mountain Climate,99.61638647114061,1.887121115495205,50.058570853818516,no
Black Pepper,Black Soil,Northeast Monsoon,May,Tropical Savanna,57.78096842946003,12.397815488261088,66.78887164560308,yes
Cashew,Black Soil,Northeast Monsoon,November,Tropical Semi-Arid,36.1917352080043,4.0817189861463765,4.496946075675101,yes
Tapioca,Red Soil,Southwest Monsoon,June,Mountain Climate,45.87788443602552,1.773245146711433,34.208378851448785,no
Red Chili,Laterite Soil,Northeast Monsoon,July,Mountain Climate,90.58601430541464,58.11392634231335,40.50540983831547,no
Coffee,Black Soil,Hot Dry Season,November,Humid Subtropical Climate,28.99719010785291,69.08057771193162,47.64337062976068,yes
Betel Leaves,Alluvial Soil,Hot Dry Season,November,Tropical Semi-Arid,50.33539541724787,98.21369772828821,46.569461116083374,no
Cotton,Laterite Soil,Hot Dry Season,January,Mountain Climate,38.70261001034171,24.003876691124994,79.86081285866166,yes
Tapioca,Mountain Soil,Southwest Monsoon,January,Tropical Wet (Monsoon),69.55004260862849,82.86432811156892,37.80941635653865,no
Banana,Lateritic Red Soil,Northeast Monsoon,January,Tropical Wet and Dry (Monsoon-Influenced),97.79472764308721,38.49820523094589,33.17737435229529,yes
Oilseeds,Mountain Soil,Northeast Monsoon,December,Tropical Wet (Monsoon),26.39153046278051,79.03995798307707,26.978559094093825,yes
Tapioca,Black Soil,Southwest Monsoon,March,Tropical Wet and Dry (Monsoon-Influenced),11.263836873376187,86.50644496586207,68.53994332744,yes
Turmeric,Lateritic Red Soil,Southwest Monsoon,January,Tropical Semi-Arid,57.20396827481215,67.03767987985255,9.573268452501749,yes
Banana,Laterite Soil,Southwest Monsoon,July,Tropical Wet and Dry (Monsoon-Influenced),4.712884461602562,15.673689705127103,29.369611332417712,yes
Oilseeds,Red Soil,Hot Dry Season,February,Tropical Wet (Monsoon),62.86953618077791,6.071785848077527,0.30050990091468055,no
Tapioca,Laterite Soil,Northeast Monsoon,December,Tropical Savanna,73.59023513674207,0.9227501493327073,75.9359079875513,no
Coffee,Lateritic Red Soil,Southwest Monsoon,September,Tropical Wet (Monsoon),35.91516699748417,33.23078113580736,16.663327018523898,yes
Sugarcane,Alluvial Soil,Northeast Monsoon,May,Tropical Wet and Dry (Monsoon-Influenced),6.615498071673898,72.37862458780965,55.35057711582464,yes
Oilseeds,Mountain Soil,Hot Dry Season,November,Tropical Wet (Monsoon),56.700514701932924,17.101060755902676,54.71323495824444,no
Cashew,Lateritic Red Soil,Northeast Monsoon,December,Tropical Semi-Arid,14.87688312173031,33.27961815395183,89.69156072306865,yes
Rice,Mountain Soil,Southwest Monsoon,December,Tropical Wet and Dry (Monsoon-Influenced),43.324375086106436,13.671151828947636,9.386964217473126,no
Sugarcane,Alluvial Soil,Southwest Monsoon,February,Tropical Semi-Arid,6.0478085449849335,37.60482945221778,18.100248078836124,no
Soybeans,Red Soil,Hot Dry Season,February,Tropical Savanna,17.028923925923365,31.777950759677353,98.73964075024416,yes
Tapioca,Laterite Soil,Hot Dry Season,December,Tropical Wet (Monsoon),64.85518366542688,0.12902340282360258,17.049175158294393,yes
Cashew,Alluvial Soil,Southwest Monsoon,November,Humid Subtropical Climate,77.47895622634391,69.56582467730826,34.140613224826396,yes
Oilseeds,Alluvial Soil,Northeast Monsoon,November,Subtropical Highland Climate,35.8050561603659,41.61718280379492,55.53171191879465,yes
Coconut,Mountain Soil,Northeast Monsoon,October,Mountain Climate,35.63012909566618,8.238602197670152,20.169842762251033,yes
Turmeric,Alluvial Soil,Hot Dry Season,December,Tropical Wet and Dry (Monsoon-Influenced),71.9828813256946,14.784689996634427,43.469330420338245,yes
Groundnut,Laterite Soil,Hot Dry Season,December,Tropical Semi-Arid,85.64951982175971,25.58500475693374,59.25375502645647,yes
Turmeric,Alluvial Soil,Northeast Monsoon,September,Tropical Semi-Arid,66.46516152797504,81.42624430688397,70.30203817021136,yes
Cardamom,Lateritic Red Soil,Hot Dry Season,March,Mountain Climate,17.321001224794287,32.75021376167021,87.95856218418906,yes
Banana,Alluvial Soil,Northeast Monsoon,October,Humid Subtropical Climate,33.006733313882364,9.48606340148711,29.72459712124459,no
Oilseeds,Mountain Soil,Southwest Monsoon,May,Tropical Semi-Arid,93.91643856346754,54.70893214466891,15.645038267637347,no
Tapioca,Red Soil,Northeast Monsoon,January,Subtropical Highland Climate,28.00598758264612,52.62065393376473,40.150536937959544,no
Cardamom,Black Soil,Southwest Monsoon,December,Humid Subtropical Climate,59.19864301242583,9.324018740401973,4.115439111664266,no
Mango,Red Soil,Hot Dry Season,April,Tropical Wet (Monsoon),95.3362122647085,45.6626145126927,19.654186667678164,yes
Rice,Lateritic Red Soil,Northeast Monsoon,September,Mountain Climate,20.406192015151536,48.83845940630391,40.15499168125556,no
Betel Leaves,Lateritic Red Soil,Southwest Monsoon,January,Mountain Climate,67.00298349989316,13.256261525986467,59.27141465609594,no
Tea,Lateritic Red Soil,Northeast Monsoon,June,Mountain Climate,56.81089071214303,16.06575400060215,32.34039600911481,no
Sugarcane,Black Soil,Hot Dry Season,July,Humid Subtropical Climate,90.45359623107089,5.174857305239633,83.93448287314268,yes
Oilseeds,Laterite Soil,Southwest Monsoon,May,Tropical Wet (Monsoon),13.767563380692538,67.84267332938124,88.93328257889172,yes
Cardamom,Laterite Soil,Northeast Monsoon,February,Mountain Climate,53.643605090741275,20.787050266255914,83.09969714038995,no
Tapioca,Black Soil,Hot Dry Season,May,Tropical Savanna,75.45628827086844,24.509912692088022,27.38349350452951,no
Mango,Laterite Soil,Northeast Monsoon,February,Tropical Semi-Arid,17.31609385190095,23.97469420425259,18.51244315651114,yes
Coconut,Mountain Soil,Northeast Monsoon,May,Subtropical Highland Climate,14.40968966585553,33.948111606706256,96.32841815046552,no
Black Pepper,Black Soil,Northeast Monsoon,March,Tropical Wet and Dry (Monsoon-Influenced),63.27361274953491,95.22051645878062,55.80944611380112,no
Oilseeds,Lateritic Red Soil,Hot Dry Season,June,Subtropical Highland Climate,84.22691084888032,37.115632044941336,3.6004429612225164,no
Rice,Mountain Soil,Southwest Monsoon,April,Tropical Savanna,42.25627253943944,14.904454682299606,21.22351029827607,yes
Oilseeds,Alluvial Soil,Southwest Monsoon,July,Tropical Wet (Monsoon),99.34837830027938,16.19946058222229,40.48886406170129,yes
Red Chili,Alluvial Soil,Northeast Monsoon,November,Tropical Semi-Arid,86.78027412987987,79.38604865780067,29.068432037547808,no
Betel Leaves,Mountain Soil,Hot Dry Season,March,Tropical Wet (Monsoon),93.91383776328604,56.20602930543536,49.17985543937423,no
Black Pepper,Black Soil,Southwest Monsoon,October,Tropical Wet (Monsoon),31.619047314183458,87.03400628471769,98.11221157836573,no
Oilseeds,Mountain Soil,Hot Dry Season,May,Mountain Climate,13.520903107636705,18.794236234255777,46.60270185237674,no
Tea,Laterite Soil,Southwest Monsoon,July,Mountain Climate,88.9803539259171,61.1834385895479,19.107974740747547,yes
Groundnut,Mountain Soil,Hot Dry Season,January,Tropical Wet and Dry (Monsoon-Influenced),31.95421842523164,37.78642707879892,20.649262685465175,no
Mango,Lateritic Red Soil,Southwest Monsoon,February,Mountain Climate,22.03844489205713,74.46326996512052,99.848460382011,yes
Oilseeds,Lateritic Red Soil,Northeast Monsoon,April,Humid Subtropical Climate,23.1819933449508,57.34798713849505,81.15364706662858,no
Cardamom,Lateritic Red Soil,Northeast Monsoon,November,Subtropical Highland Climate,56.945815451880435,32.21324739319943,98.68746698115798,no
Coffee,Alluvial Soil,Southwest Monsoon,November,Tropical Wet and Dry (Monsoon-Influenced),41.262912008867694,33.80559863854645,74.78582722427637,no
Sugarcane,Black Soil,Northeast Monsoon,October,Subtropical Highland Climate,19.322411424557373,22.464234436105478,78.74001187776359,no
Cotton,Lateritic Red Soil,Southwest Monsoon,June,Humid Subtropical Climate,29.533308365289834,26.756309663879485,35.90910657745946,yes
Banana,Black Soil,Northeast Monsoon,August,Subtropical Highland Climate,12.379780664807827,75.87191555713727,30.019079116963088,yes
Sugarcane,Lateritic Red Soil,Hot Dry Season,December,Tropical Semi-Arid,30.771190947172965,47.26473315203342,37.585277265272495,no
Banana,Laterite Soil,Southwest Monsoon,August,Tropical Wet (Monsoon),2.1038591565220033,11.52590450032177,26.509870615013543,no
Sugarcane,Black Soil,Southwest Monsoon,May,Mountain Climate,27.63550434952554,48.74186611806759,35.44733735801445,yes
Cardamom,Alluvial Soil,Northeast Monsoon,August,Tropical Savanna,35.672391916347465,29.127948830162232,26.441940772528262,no
Cotton,Black Soil,Hot Dry Season,March,Tropical Wet (Monsoon),18.88494972004322,67.09758673393077,66.18796707958002,yes
Groundnut,Alluvial Soil,Hot Dry Season,July,Tropical Semi-Arid,86.01675818750448,99.81201758941198,78.32667494807401,yes
Cashew,Mountain Soil,Hot Dry Season,June,Tropical Savanna,6.146197353255123,62.2057685098728,60.204472655696286,yes
Tapioca,Red Soil,Northeast Monsoon,January,Mountain Climate,92.34871802487487,18.6183927332383,0.7623275166509513,no
Mango,Mountain Soil,Southwest Monsoon,August,Tropical Wet (Monsoon),79.65187695777894,12.911793347653822,54.10827098041061,yes
Mango,Laterite Soil,Hot Dry Season,September,Humid Subtropical Climate,51.45132783451483,25.294807206436587,84.55950762736815,no
Soybeans,Alluvial Soil,Southwest Monsoon,September,Tropical Wet and Dry (Monsoon-Influenced),11.50504596314742,37.20580129741947,34.86839277705791,no
Betel Leaves,Lateritic Red Soil,Northeast Monsoon,May,Mountain Climate,54.008786690508614,3.1364592597650898,89.85977535393845,no
Cotton,Alluvial Soil,Northeast Monsoon,December,Subtropical Highland Climate,96.28439421273421,11.2801520654237,42.03187278963198,no
Soybeans,Red Soil,Southwest Monsoon,June,Tropical Semi-Arid,47.939130712685696,47.57094055470689,28.242521588785998,no
Black Pepper,Alluvial Soil,Northeast Monsoon,May,Tropical Wet (Monsoon),58.57096801671845,56.39473081766844,27.899336098488405,yes
Coffee,Mountain Soil,Hot Dry Season,June,Tropical Wet (Monsoon),67.10946889222338,74.26098183026085,13.860534512817946,yes
Sugarcane,Red Soil,Northeast Monsoon,September,Tropical Wet (Monsoon),92.29601794200224,28.694362041180533,27.940828345874557,no
Sugarcane,Lateritic Red Soil,Hot Dry Season,November,Tropical Semi-Arid,63.030459209669885,2.572782426253928,40.77832231742393,yes
Turmeric,Mountain Soil,Southwest Monsoon,May,Mountain Climate,82.57903377587506,5.255510055034218,94.69408321519491,no
Mango,Alluvial Soil,Southwest Monsoon,July,Humid Subtropical Climate,25.315466299420862,30.68564007064134,13.559486023753642,yes
Black Pepper,Mountain Soil,Southwest Monsoon,June,Tropical Wet (Monsoon),50.531644832014564,70.52745846643712,13.210780991498716,yes
Sugarcane,Lateritic Red Soil,Hot Dry Season,December,Tropical Semi-Arid,26.148298919884994,45.245399631201956,17.230863730740033,yes
Coffee,Alluvial Soil,Hot Dry Season,August,Tropical Wet (Monsoon),44.234806484798916,53.63528672848822,90.10191762325059,yes
Coconut,Black Soil,Hot Dry Season,January,Tropical Savanna,17.901883739298206,32.09264899592843,71.80519858007607,yes
Cotton,Lateritic Red Soil,Northeast Monsoon,July,Mountain Climate,14.274326411826044,42.28497489249124,75.9444173166229,no
Turmeric,Mountain Soil,Northeast Monsoon,November,Mountain Climate,54.77548086562648,6.045704774417715,17.674744226077422,no
Coconut,Red Soil,Hot Dry Season,April,Tropical Savanna,49.16169580439741,54.322169531835804,10.674116429375646,no
Cardamom,Alluvial Soil,Northeast Monsoon,October,Tropical Savanna,14.971400889482355,24.034978243793336,87.34614927763403,no
Coffee,Alluvial Soil,Southwest Monsoon,January,Tropical Savanna,11.707702708389922,72.08249371216641,18.200880318381586,yes
Cotton,Alluvial Soil,Hot Dry Season,May,Tropical Savanna,99.93399726201308,38.270985463410945,81.75614390991112,no
Rice,Mountain Soil,Southwest Monsoon,August,Tropical Savanna,71.45154637670798,78.8624450598789,50.53599390963981,no
Groundnut,Mountain Soil,Southwest Monsoon,March,Humid Subtropical Climate,11.22766411357845,65.25898123509928,49.03371451847819,no
Coconut,Red Soil,Hot Dry Season,April,Mountain Climate,17.208466171515223,70.02374032340886,23.29490858857981,yes
Oilseeds,Black Soil,Hot Dry Season,January,Subtropical Highland Climate,37.31740480673827,66.27741911357022,61.06695860834551,no
Red Chili,Laterite Soil,Southwest Monsoon,January,Tropical Wet and Dry (Monsoon-Influenced),56.45935377034197,82.59698047061099,8.512564765386998,no
Banana,Red Soil,Northeast Monsoon,October,Tropical Savanna,90.94830628564672,78.78642647104347,45.93474170474055,yes
Turmeric,Mountain Soil,Hot Dry Season,September,Subtropical Highland Climate,20.418263819186922,70.42788388666887,15.253020997299094,yes
Banana,Laterite Soil,Hot Dry Season,July,Humid Subtropical Climate,47.44337198939247,6.988401172569314,91.00003941690223,no
Soybeans,Red Soil,Hot Dry Season,November,Subtropical Highland Climate,22.873118853079443,16.511757556892825,89.74583825670027,yes
Mango,Alluvial Soil,Hot Dry Season,August,Mountain Climate,0.7255488886678152,88.86710374571155,91.863351051774,yes
Cardamom,Black Soil,Southwest Monsoon,March,Tropical Savanna,15.945835469599901,45.960632732510234,80.91729192424559,yes
Cardamom,Black Soil,Southwest Monsoon,February,Tropical Semi-Arid,57.832756802071216,0.6935700564689395,32.39527792439352,yes
Cashew,Alluvial Soil,Hot Dry Season,February,Tropical Wet and Dry (Monsoon-Influenced),10.20180625535103,56.7358637588655,9.941597194920282,yes
Oilseeds,Alluvial Soil,Northeast Monsoon,January,Mountain Climate,0.1186333241920079,33.17413734770571,72.90643491740914,no
Tapioca,Red Soil,Hot Dry Season,January,Tropical Savanna,74.21282276651341,25.52682923105275,63.44085544423409,yes
Sugarcane,Mountain Soil,Southwest Monsoon,May,Subtropical Highland Climate,52.424743383972185,28.17873333844917,69.0943504886336,yes
Black Pepper,Mountain Soil,Northeast Monsoon,April,Tropical Semi-Arid,40.655156776553966,47.32755561974202,29.046995724799974,no
Turmeric,Lateritic Red Soil,Southwest Monsoon,October,Tropical Wet and Dry (Monsoon-Influenced),63.55694703213508,93.07691751430036,48.04446855218444,no
Turmeric,Lateritic Red Soil,Southwest Monsoon,December,Tropical Wet and Dry (Monsoon-Influenced),78.64192920759126,86.01704331421844,27.886308803622196,no
Oilseeds,Red Soil,Southwest Monsoon,March,Mountain Climate,30.297490878389123,44.542407384544624,22.60336863835831,no
Cotton,Red Soil,Southwest Monsoon,August,Mountain Climate,56.80923664250385,7.6714370287540135,33.352833532735126,no
Soybeans,Black Soil,Hot Dry Season,April,Tropical Semi-Arid,36.74015011113742,45.598938552983014,97.49701711867205,no
Betel Leaves,Red Soil,Southwest Monsoon,August,Tropical Wet (Monsoon),4.785367902477578,20.092207578701814,2.340039119878423,yes
Groundnut,Laterite Soil,Northeast Monsoon,October,Humid Subtropical Climate,40.85687683104994,93.98451470959938,75.57162612190645,no
Coffee,Red Soil,Southwest Monsoon,November,Tropical Wet and Dry (Monsoon-Influenced),64.81067266117375,81.91844989896997,2.6159489717170525,yes
Tapioca,Black Soil,Northeast Monsoon,April,Tropical Savanna,92.64333670550641,32.46532730112527,41.950849976757674,no
Tapioca,Mountain Soil,Southwest Monsoon,August,Subtropical Highland Climate,2.397150724797237,4.537041634541305,28.16638650288067,yes
Cardamom,Alluvial Soil,Southwest Monsoon,December,Tropical Wet and Dry (Monsoon-Influenced),57.99032824429058,6.17318144350908,27.69543869799952,no
Banana,Laterite Soil,Hot Dry Season,February,Humid Subtropical Climate,69.65694486297573,40.79106837414135,81.49583392396598,yes
Cardamom,Red Soil,Hot Dry Season,December,Tropical Wet (Monsoon),40.21494288305907,94.62942994936472,87.01898291645148,yes
Banana,Black Soil,Southwest Monsoon,June,Mountain Climate,8.342571770446238,19.619064367566143,31.388420566775864,yes
Mango,Lateritic Red Soil,Southwest Monsoon,August,Tropical Savanna,60.82418313290005,42.10870053431529,48.21448568988418,no
Black Pepper,Lateritic Red Soil,Northeast Monsoon,January,Mountain Climate,88.5274566786371,84.82704545145808,77.22327641605003,no
Oilseeds,Red Soil,Southwest Monsoon,June,Humid Subtropical Climate,45.47452562074119,71.94169620172663,89.96467140072933,no
Cotton,Black Soil,Hot Dry Season,February,Tropical Savanna,95.10090978110347,80.73733325996754,24.93158300614351,no
Tapioca,Black Soil,Northeast Monsoon,November,Tropical Savanna,68.88190957147023,50.01656110769189,84.646346297598,no
Coconut,Black Soil,Southwest Monsoon,July,Tropical Wet and Dry (Monsoon-Influenced),50.22989876358246,76.3041636618728,88.51973189328692,yes
Betel Leaves,Alluvial Soil,Hot Dry Season,April,Tropical Semi-Arid,45.767277959898045,42.64394393450781,31.96927828102497,yes
Sugarcane,Lateritic Red Soil,Southwest Monsoon,June,Humid Subtropical Climate,51.87011378563885,81.10030662378318,47.41486019536215,no
Coffee,Red Soil,Southwest Monsoon,April,Tropical Wet and Dry (Monsoon-Influenced),24.104184907801486,33.72566729514379,17.23711008754165,no
Coconut,Mountain Soil,Southwest Monsoon,August,Mountain Climate,19.382762890603054,5.45474286287625,17.630330041556384,yes
Sugarcane,Laterite Soil,Hot Dry Season,September,Tropical Semi-Arid,33.84602246436128,75.10991371729355,23.940338744934486,yes
Soybeans,Lateritic Red Soil,Hot Dry Season,May,Subtropical Highland Climate,31.45774847860805,5.648065642879052,46.674136681763216,no
Red Chili,Red Soil,Hot Dry Season,March,Tropical Savanna,97.68337936188603,16.99411921948831,31.509074387421453,yes
Turmeric,Alluvial Soil,Hot Dry Season,January,Mountain Climate,39.426236909742094,55.19777793363808,29.133496579821163,yes
Tapioca,Alluvial Soil,Southwest Monsoon,March,Subtropical Highland Climate,19.278425588078164,75.51360359936184,43.74921289868411,no
Cashew,Alluvial Soil,Hot Dry Season,January,Humid Subtropical Climate,12.568934112702312,43.501181496256635,53.58012781353455,yes
Coffee,Alluvial Soil,Hot Dry Season,January,Subtropical Highland Climate,6.387759169469465,57.98361685633737,5.061869545697539,yes
Soybeans,Mountain Soil,Hot Dry Season,March,Mountain Climate,16.089687180575595,36.24553605094838,7.519939583302304,no
Banana,Red Soil,Southwest Monsoon,November,Mountain Climate,70.17947371601761,92.61500856300503,61.67413030723598,no
Rice,Red Soil,Hot Dry Season,December,Tropical Semi-Arid,0.7050278659100018,35.90357079079299,35.337944868669155,no
Betel Leaves,Red Soil,Southwest Monsoon,June,Tropical Wet and Dry (Monsoon-Influenced),72.7413307545808,91.0946363370919,37.47988825561052,no
Cardamom,Lateritic Red Soil,Hot Dry Season,September,Humid Subtropical Climate,67.98841731610675,5.505875175529762,55.937996870926675,yes
Groundnut,Laterite Soil,Southwest Monsoon,August,Humid Subtropical Climate,15.64785085540441,14.871094092655323,35.526826144672796,no
Tea,Laterite Soil,Northeast Monsoon,October,Humid Subtropical Climate,97.3439925892057,41.85154978357885,11.62916084633433,no
Tea,Mountain Soil,Hot Dry Season,April,Humid Subtropical Climate,66.91670383303766,4.155992352265492,12.607189258729312,yes
Cashew,Laterite Soil,Northeast Monsoon,December,Humid Subtropical Climate,12.40869052725515,80.05426861334948,74.94593090411318,no
Sugarcane,Lateritic Red Soil,Northeast Monsoon,April,Humid Subtropical Climate,35.52919160969049,9.094179298770321,82.50403752439391,yes
Tea,Mountain Soil,Hot Dry Season,December,Tropical Semi-Arid,18.181221897213597,91.2391700951355,75.45254238875613,no
Groundnut,Lateritic Red Soil,Southwest Monsoon,February,Tropical Wet (Monsoon),57.29717819994876,28.970865520659363,74.17101251492868,yes
Tea,Alluvial Soil,Northeast Monsoon,November,Subtropical Highland Climate,76.73360617240776,1.6564225788109233,43.087998387545504,no
Sugarcane,Mountain Soil,Southwest Monsoon,December,Tropical Savanna,57.289411454150226,26.054141033555734,2.6857287993410917,no
Banana,Alluvial Soil,Hot Dry Season,September,Tropical Wet and Dry (Monsoon-Influenced),4.819066106797088,34.08284477774798,98.4612071897186,no
Mango,Black Soil,Hot Dry Season,April,Tropical Wet (Monsoon),81.17078272057452,78.10104992883534,41.00444840603109,no
Mango,Red Soil,Southwest Monsoon,May,Humid Subtropical Climate,52.21716851361927,73.84809193011381,28.983679226308677,no
Coconut,Lateritic Red Soil,Northeast Monsoon,October,Humid Subtropical Climate,4.6165336261806855,77.4845037224512,19.982271704329445,no
Sugarcane,Laterite Soil,Southwest Monsoon,August,Tropical Wet and Dry (Monsoon-Influenced),42.36549178557828,85.67871057388682,7.094358095398679,yes
Cashew,Laterite Soil,Northeast Monsoon,June,Tropical Savanna,85.7863270625848,61.8167250057284,14.847268087307663,yes
Red Chili,Black Soil,Hot Dry Season,November,Tropical Wet and Dry (Monsoon-Influenced),53.09587843470093,22.581658264650283,95.08933444317135,no
Red Chili,Alluvial Soil,Northeast Monsoon,August,Humid Subtropical Climate,74.73640294068953,14.906954415004003,43.69483189999992,yes
Cotton,Alluvial Soil,Hot Dry Season,January,Tropical Wet and Dry (Monsoon-Influenced),90.06308554946919,1.919917798242976,69.88928953101914,no
